State,State Average,National Average,Verdict
AK,14.9,14.025,Inefficient
AL,15.149999999999999,14.025,Inefficient
AR,14.7,14.025,Inefficient
AZ,13.175,14.025,Efficient
CA,14.375,14.025,Inefficient
CO,14.299999999999999,14.025,Inefficient
CT,17.5,14.025,Inefficient
DC,12.549999999999999,14.025,Efficient
DE,11.15,14.025,Efficient
FL,14.450000000000001,14.025,Inefficient
GA,13.5,14.025,Efficient
HI,11.575,14.025,Efficient
IA,12.175,14.025,Efficient
ID,13.85,14.025,Efficient
IL,14.35,14.025,Inefficient
IN,13.475000000000001,14.025,Efficient
KS,13.925,14.025,Efficient
KY,12.95,14.025,Efficient
LA,15.4,14.025,Inefficient
MA,12.975,14.025,Efficient
MD,13.575,14.025,Efficient
ME,13.375,14.025,Efficient
MI,13.7,14.025,Efficient
MN,13.9,14.025,Efficient
MO,13.725000000000001,14.025,Efficient
MS,14.424999999999999,14.025,Inefficient
MT,14.925,14.025,Inefficient
NC,12.75,14.025,Efficient
ND,12.925,14.025,Efficient
NE,13.174999999999999,14.025,Efficient
NH,13.325,14.025,Efficient
NJ,15.725,14.025,Inefficient
NM,14.975,14.025,Inefficient
NV,13.825,14.025,Efficient
NY,19.075,14.025,Inefficient
OH,12.875,14.025,Efficient
OK,14.475000000000001,14.025,Inefficient
OR,14.675,14.025,Inefficient
PA,13.2,14.025,Efficient
PR,28.225,14.025,Inefficient
RI,13.575000000000001,14.025,Efficient
SC,13.375,14.025,Efficient
SD,12.3,14.025,Efficient
TN,13.0,14.025,Efficient
TX,14.925,14.025,Inefficient
UT,14.8,14.025,Inefficient
VA,12.675,14.025,Efficient
VT,12.25,14.025,Efficient
WA,13.025,14.025,Efficient
WI,13.075,14.025,Efficient
WV,14.424999999999999,14.025,Inefficient
WY,14.950000000000001,14.025,Inefficient
